Simulation ID,SimTime (ms),SysTime,Node ID,Believes
1,58708348,142,1,0
1,58708348,142,2,0
1,58708348,142,3,0
2,796035801,90,1,1
2,796035801,90,2,1
2,796035801,90,3,1
3,773567193,87,1,1
3,773567193,87,2,1
3,773567193,87,3,1
4,727496294,101,1,1
4,727496294,101,2,1
4,727496294,101,3,1
5,114104457,166,1,0
5,114104457,166,2,0
5,114104457,166,3,0
6,21440693,108,1,1
6,21440693,108,2,1
6,21440693,108,3,1
7,114564061,206,1,0
7,114564061,206,2,0
7,114564061,206,3,0
8,31836372,121,1,1
8,31836372,121,2,1
8,31836372,121,3,1
9,147654053,174,1,0
9,147654053,174,2,0
9,147654053,174,3,0
10,80070649,204,1,1
10,80070649,204,2,1
10,80070649,204,3,1
10,80070649,204,4,1
10,80070649,204,5,1
